"","Mouse.gene.stable.ID","LFC"
"1","ENSMUSG00000000411","-2.02207204976174"
"2","ENSMUSG00000000632","-3.20845800565523"
"3","ENSMUSG00000001260","-2.12837953683593"
"4","ENSMUSG00000005716","-2.28473506742893"
"5","ENSMUSG00000005917","-2.59012241527409"
"6","ENSMUSG00000006270","-2.38795999608868"
"7","ENSMUSG00000009487","-3.15361460872831"
"8","ENSMUSG00000010492","-3.20430684034613"
"9","ENSMUSG00000010601","-2.06269494127068"
"10","ENSMUSG00000011350","-2.98639297668762"
"11","ENSMUSG00000011486","-2.02207204976174"
"12","ENSMUSG00000011589","-2.55839273035236"
"13","ENSMUSG00000012211","-2.02207204976174"
"14","ENSMUSG00000015957","-2.73874731908095"
"15","ENSMUSG00000016150","-2.64072797653583"
"16","ENSMUSG00000017007","-2.63673254931955"
"17","ENSMUSG00000020007","-2.02174488664221"
"18","ENSMUSG00000020052","-2.49229102208615"
"19","ENSMUSG00000020108","-2.64836667788857"
"20","ENSMUSG00000020798","-2.23888423105994"
"21","ENSMUSG00000020887","-2.47181400414632"
"22","ENSMUSG00000021078","-4.25917737858588"
"23","ENSMUSG00000021086","-2.50339925341826"
"24","ENSMUSG00000021239","-2.02207204976174"
"25","ENSMUSG00000021453","-2.22771148070895"
"26","ENSMUSG00000021587","-2.53888331243227"
"27","ENSMUSG00000021631","-5.47066525827814"
"28","ENSMUSG00000021679","-2.63463657124234"
"29","ENSMUSG00000021874","-2.91636944089032"
"30","ENSMUSG00000022002","-2.3531824645229"
"31","ENSMUSG00000022044","-2.62173368508667"
"32","ENSMUSG00000022249","-2.55608736708879"
"33","ENSMUSG00000022321","-2.40169068167106"
"34","ENSMUSG00000022603","-2.04577385118384"
"35","ENSMUSG00000022759","-2.37934493416083"
"36","ENSMUSG00000022860","-2.50340733928492"
"37","ENSMUSG00000024029","-2.60778025676824"
"38","ENSMUSG00000024175","-2.3720267634887"
"39","ENSMUSG00000024261","-2.36772825242344"
"40","ENSMUSG00000024306","-2.74920503495164"
"41","ENSMUSG00000024518","-2.01113776166021"
"42","ENSMUSG00000024738","-3.32117088963641"
"43","ENSMUSG00000024784","-2.64072797653583"
"44","ENSMUSG00000025328","-3.16137888048914"
"45","ENSMUSG00000025380","-2.56118299430157"
"46","ENSMUSG00000025468","-3.30429223531342"
"47","ENSMUSG00000025592","-2.6055768965223"
"48","ENSMUSG00000025716","-3.66969772848774"
"49","ENSMUSG00000026828","-3.20868855555733"
"50","ENSMUSG00000027301","-2.05676417076028"
"51","ENSMUSG00000027481","-2.02207204976174"
"52","ENSMUSG00000027674","-2.41628419827539"
"53","ENSMUSG00000027694","-2.31314927195151"
"54","ENSMUSG00000027967","-2.67732763201401"
"55","ENSMUSG00000028012","-3.07255608057789"
"56","ENSMUSG00000028148","-2.36253706157208"
"57","ENSMUSG00000028441","-2.37154864077404"
"58","ENSMUSG00000028680","-2.09931738746261"
"59","ENSMUSG00000028750","-2.08003135659118"
"60","ENSMUSG00000028753","-2.33877877688826"
"61","ENSMUSG00000029409","-2.59054262640745"
"62","ENSMUSG00000029522","-3.05730012145192"
"63","ENSMUSG00000029683","-2.97308862518106"
"64","ENSMUSG00000030048","-2.16127168189079"
"65","ENSMUSG00000030173","-2.54208683093448"
