"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSSSCG00000000002",183.128764758827,-2.04281439382996,0.450018899980701,4.55135071250184e-07,5.10003214269882e-05
"ENSSSCG00000000003",310.650598351573,0.286942682632904,0.294080269534674,0.193208410634551,0.463036764477374
"ENSSSCG00000000005",742.414097819138,-0.164100869220003,0.259201210234965,0.426292737640921,0.688001114518168
"ENSSSCG00000000006",60.484533014176,0.0640953100322831,0.375039615780749,0.719506529976465,0.875365973696324
"ENSSSCG00000000007",375.925703695359,-0.279955165634468,0.298339345780752,0.210860905686817,0.483667141838157
"ENSSSCG00000000010",9739.94510575389,0.159794707573363,0.27800328099156,0.455562202235974,0.709424663397953
"ENSSSCG00000000014",839.151648617647,0.125400332634404,0.254241516947663,0.539311312999368,0.770520249568349
"ENSSSCG00000000018",1177.22344373042,0.307853811056113,0.254975237722226,0.135271572409767,0.381551209525554
"ENSSSCG00000000019",1433.18719136961,0.0356228051806187,0.211049908026881,0.848711138234644,0.938843413767808
"ENSSSCG00000000020",29.7078936252769,0.30377056652988,0.455116001955247,0.166474063822498,0.42825373817167
"ENSSSCG00000000021",587.363262307051,-0.196488336948512,0.251313231237653,0.333743174621414,0.612503575389944
"ENSSSCG00000000022",1082.99123992553,0.066881014894981,0.216433674139889,0.720518284813452,0.875647830870325
"ENSSSCG00000000024",63.4626798514042,0.091692695879954,0.357495876771902,0.643672845671776,0.832159156214401
"ENSSSCG00000000025",59.5190200319308,-0.814803619066796,0.711026230471432,0.0234348476347752,0.1380375902491
"ENSSSCG00000000026",4.10653670213325,0.0311703598274616,0.413455464396231,0.703287515783538,0.866889674020073
"ENSSSCG00000000028",54.8347402536332,-2.04547738714385,0.767647790299132,0.00047205573175464,0.0104497477348349
"ENSSSCG00000000029",988.832575587923,0.0894012193851897,0.29312919689366,0.676810102769712,0.852207763797147
"ENSSSCG00000000031",400.427701011059,-0.260285825361794,0.282901611690451,0.230528416651199,0.507162335787616
"ENSSSCG00000000033",460.253717054247,0.14426823557308,0.295960061975815,0.502606823870912,0.743880083225018
"ENSSSCG00000000034",2242.70849946276,0.111592742903655,0.240664314371121,0.57130249882105,0.792098562241902
"ENSSSCG00000000035",536.091484958162,-0.897911769593184,0.376289725085121,0.00249939966639362,0.0330272833183353
"ENSSSCG00000000036",2204.08163689006,0.37152749774351,0.233427618501212,0.0583572704448052,0.236082817604316
"ENSSSCG00000000037",2116.26731653244,-0.0370300955327443,0.218809703398044,0.841360999448588,0.935678828100713
"ENSSSCG00000000038",2944.46082085796,0.147406767915628,0.280831643519372,0.490996571092448,0.735311311596523
"ENSSSCG00000000039",2043.69049708756,0.0302488554807298,0.207763231080489,0.870399225286529,0.947877935602034
"ENSSSCG00000000040",84.3763932151928,-0.127803833779543,0.3517232396205,0.536507367742114,0.76851182418922
"ENSSSCG00000000045",676.593095050468,-0.119796984808398,0.267290358305048,0.562724878326516,0.786463261522208
"ENSSSCG00000000046",50.6217661445948,-0.258154898493664,0.533270546027548,0.028286816992051,0.154424343181324
"ENSSSCG00000000050",1226.23690285413,-0.155353941368912,0.257962417125084,0.44831358910052,0.70489860709297
"ENSSSCG00000000058",1697.12834975608,1.00216943542128,0.332498112340628,0.000273540403864102,0.00704881921608505
"ENSSSCG00000000059",834.940901713496,-0.334768613187882,0.260188286150419,0.112783726922889,0.341434891091805
"ENSSSCG00000000061",1667.38880987699,0.0271683778441351,0.267684516473319,0.899070282917382,0.960236532946795
"ENSSSCG00000000062",2213.91184625802,-0.281287208334607,0.253940662276755,0.173663320703145,0.437596970654681
"ENSSSCG00000000063",375.097533017251,-0.315644723418413,0.290791741952461,0.157127878989761,0.414043167436248
"ENSSSCG00000000064",6289.61867323906,0.0502946663942773,0.253165215012169,0.807294281844254,0.92047772709951
"ENSSSCG00000000066",576.394554318908,-0.391859787481662,0.286483485648213,0.0814219541436711,0.286175473096281
"ENSSSCG00000000067",19.2060360801558,-0.0480241891868558,0.370470550865667,0.784326869689989,0.910092936841965
"ENSSSCG00000000068",1224.68703906315,-0.0639425223723857,0.247659403509294,0.746545960764044,0.888401652587589
"ENSSSCG00000000071",5371.28487171622,0.444483225831063,0.239368064195044,0.0268698453464314,0.149476057077293
"ENSSSCG00000000072",1169.20163237751,0.302537692126454,0.277861968979418,0.158205056007055,0.415902831059612
"ENSSSCG00000000074",2.06179322662193,-0.042683306216895,0.41626394809077,0.568576842634346,NA
"ENSSSCG00000000075",227.683020984817,0.69518749317253,0.4215285158181,0.0155260017325932,0.108380662668786
"ENSSSCG00000000076",2098.28028902579,0.0345326776505113,0.245073213883679,0.851885588412673,0.939876565637947
"ENSSSCG00000000077",674.666868170963,0.0666363096139779,0.232098533521094,0.731886918567947,0.882305099565414
"ENSSSCG00000000078",137.684146129372,-0.209555508414412,0.31694656512199,0.346030534422168,0.623282566232476
"ENSSSCG00000000079",204.919532229039,-0.0761462852060759,0.303962288830549,0.716527340650482,0.874266348114242
"ENSSSCG00000000080",9.15273910364895,-0.0262564539729208,0.397434713689249,0.837025633292237,0.933572913624517
"ENSSSCG00000000081",0,NA,NA,NA,NA
"ENSSSCG00000000082",21.1491208697257,-0.262854340986132,0.49687229314021,0.122426684066014,0.358667785461796
"ENSSSCG00000000087",883.35926710489,-0.499430348220999,0.28819311306841,0.0301070487734994,0.160879889113811
"ENSSSCG00000000091",96.4269646637812,-0.712636816518511,0.433393777132303,0.0178528760149317,0.118367441430001
"ENSSSCG00000000092",29.3116533999389,-0.0273840217243848,0.357961318040904,0.881159795807299,0.953492623510809
"ENSSSCG00000000093",734.527142745546,-0.134883442127104,0.242754423895819,0.496770257474254,0.739283720166469
"ENSSSCG00000000094",1668.17984203497,0.584975445053579,0.348199125069074,0.0220181664901269,0.133639409616084
"ENSSSCG00000000095",1211.13526215326,-0.041948303632181,0.239591798081149,0.826695445441927,0.929210639420129
"ENSSSCG00000000097",1851.45091240686,-0.0972665969318656,0.22988117376217,0.611353002112391,0.814091921084167
"ENSSSCG00000000103",1.15596723062616,0.0236075855876808,0.419220697645371,0.531654101596096,NA
"ENSSSCG00000000104",8532.15831457284,-0.372812188988344,0.268702629479169,0.0847366531469927,0.291500736806077
"ENSSSCG00000000105",236.459288619266,0.169468131746216,0.284960472946038,0.428101287869268,0.689762965172703
"ENSSSCG00000000106",3.0785571246162,0.036315954422004,0.416161281592523,0.607487521384465,0.812083318709999
"ENSSSCG00000000107",1387.03262365806,0.117805162160723,0.233079028994525,0.54549886642459,0.774223505346383
"ENSSSCG00000000108",795.289739731103,0.311708967988343,0.255090074399477,0.13053963918937,0.373880837817316
"ENSSSCG00000000110",391.268749202969,-0.360130417019038,0.299961264894173,0.115286679123733,0.345768800683068
"ENSSSCG00000000111",401.285232224095,0.255731466534503,0.324308779281163,0.257113722511899,0.53757562924837
"ENSSSCG00000000113",9.7652299552945,0.293042761303319,0.542686763288807,0.0583167356030454,0.23605622013035
"ENSSSCG00000000114",1040.32506745968,-0.0281238061489032,0.264985803950944,0.898485832693184,0.960236532946795
"ENSSSCG00000000116",1488.68935418359,0.372346119814029,0.319650468277468,0.108968070109803,0.33444055077918
"ENSSSCG00000000117",44.4933224681836,-0.307341585469379,0.403811032823227,0.193768638870646,0.464011365848587
"ENSSSCG00000000118",1130.98255875814,0.314016336689963,0.250567235511221,0.124176959832551,0.362320884198433
"ENSSSCG00000000119",4141.86022404803,0.327411712221333,0.279643188674856,0.131637008421999,0.375263231006873
