"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSSSCG00000000058",1697.12834975608,1.00216943542128,0.332498112340628,0.000273540403864102,0.00704881921608505
"ENSSSCG00000000184",100.671783694206,1.5235351876636,0.695758510054704,0.00113702621654903,0.019271475650615
"ENSSSCG00000000261",458.273137674489,1.0871856142183,0.531120348414973,0.00276907658004912,0.0351919732497323
"ENSSSCG00000000530",47.9876020349883,2.24394606755184,0.770474212166743,0.000116925408639187,0.00388452629149036
"ENSSSCG00000000645",3491.99361641705,1.47739101033334,0.287116378698484,1.62269132496078e-08,3.41648643518687e-06
"ENSSSCG00000000690",1639.09752068386,1.0230072518709,0.307060551083328,8.43785296039409e-05,0.00301108993872896
"ENSSSCG00000000703",297.001384818944,1.37344560449849,0.477216214030474,0.000230559371839565,0.00625017101142764
"ENSSSCG00000000709",122.133238710305,1.11686229780304,0.545775915738574,0.00263959635087511,0.03423525753096
"ENSSSCG00000000712",476.860264554704,1.77800127680911,0.495218442974037,1.48266190484345e-05,0.000755240871905339
"ENSSSCG00000000757",1222.83949289287,1.08852550076529,0.275384057016853,7.85835425902937e-06,0.000474229155587094
"ENSSSCG00000000804",612.50686156585,1.05633895443666,0.467162447248327,0.00186776021515293,0.0268325915973714
"ENSSSCG00000000843",117.74069259804,2.00383364603612,0.483314891338754,1.50635476547323e-06,0.000132454476419892
"ENSSSCG00000000856",365.052624767721,3.11896164793784,1.12451762810023,9.5527856062139e-05,0.00330320683306838
"ENSSSCG00000000906",568.586455192214,2.01496723194599,0.314055475146048,6.87187854978745e-12,5.20860906559689e-09
"ENSSSCG00000000936",143.049351736731,1.5053643821967,0.439127267573853,3.50881822575635e-05,0.00149412576539005
"ENSSSCG00000000999",353.522503709506,1.34225144598193,0.325235220202578,2.69016930952298e-06,0.000200692985221067
"ENSSSCG00000001063",351.687185518996,1.34271322302891,0.409797098340638,6.77105172043084e-05,0.00256609318100888
"ENSSSCG00000001137",586.900493696049,2.94631098007001,0.595455278023554,2.3352638993856e-08,4.64498650312914e-06
"ENSSSCG00000001565",364.089691044115,3.26977999525567,0.478614526154969,2.61076854827433e-13,4.49740483829548e-10
"ENSSSCG00000001727",622.045493645105,1.02681570915795,0.286693612539261,3.73306234399127e-05,0.00156499553885599
"ENSSSCG00000001746",333.948549184698,1.55521489106141,0.388629840129448,3.6506272320785e-06,0.00025577829666326
"ENSSSCG00000001795",85.8163745233445,3.66839140655713,0.695172900800887,3.88691683015562e-09,9.95313338035389e-07
"ENSSSCG00000001824",864.798679367188,1.1496918640953,0.266618687688528,1.64825236196906e-06,0.000141966972758872
"ENSSSCG00000001892",407.402457135778,1.21776294607511,0.44528570304446,0.000428924104908802,0.00969786356031607
"ENSSSCG00000001952",1629.5048022416,1.00483444476551,0.360431888591209,0.000536460095670688,0.0113745275218969
"ENSSSCG00000002311",593.43656560902,1.16987936769424,0.357633483308619,8.91449387249101e-05,0.00313396557309522
"ENSSSCG00000002350",852.640256368037,1.4966776921554,0.340245396068517,6.87331438653228e-07,6.96483605937969e-05
"ENSSSCG00000002383",876.941463041196,1.47546977592782,4.55760998938392,0.00423862212778479,0.0465070357263428
"ENSSSCG00000002392",264.689392554569,2.1712037154634,0.426210384617061,1.53540166183046e-08,3.30617341932107e-06
"ENSSSCG00000002427",36.2285746346292,1.31090275019838,0.734891996959349,0.00323833404282,0.0388620593903712
"ENSSSCG00000002622",193.125243502985,1.05510834237248,0.523172084886421,0.00316280484964635,0.0383926302240629
"ENSSSCG00000002658",98.723952850256,1.86761035433586,0.413171219105466,3.11752616156439e-07,3.69212520221773e-05
"ENSSSCG00000002754",1112.16264513149,3.14077369697811,0.538536377200472,1.82108689679324e-10,8.84814759162438e-08
"ENSSSCG00000002822",1487.61722932296,1.0961609617812,0.262014580926171,2.95054789677382e-06,0.000215868463690992
"ENSSSCG00000003101",111.181302269538,1.22710823775281,0.597686765291933,0.00215732113179801,0.0297700328491696
"ENSSSCG00000003421",303.148732769264,1.06942945455323,0.338150148455927,0.000151224348123098,0.00459959899291265
"ENSSSCG00000003481",81.199701005606,2.94887840905887,0.833570685955129,1.04358101537969e-05,0.000592060379054782
"ENSSSCG00000003825",70.6036721930076,1.46244820098968,0.461051330737299,8.85816173897577e-05,0.00311994994036899
"ENSSSCG00000003832",402.346062918139,3.30557003884142,0.643402901269033,7.94485343244874e-09,1.83068285625805e-06
