"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","evidence_codes","intersection","direction"
"1","query_1","TRUE","3.49212065127516e-08","510","84","17","0.202380952380952","0.0333333333333333","GO:0006820","GO:BP","anion transport","21092","2770","GO:0006811","IBA TAS IEA,IDA TAS,IEA,IBA TAS,IMP,IBA IEA,IBA,TAS IEA,IBA IEA,IBA IEA,IEA,IEA,IBA TAS,IDA IMP IGI ISS,IEA,IDA,IDA IBA IEA","6554,6534,4889,9122,1066,2570,10246,10864,57101,6559,785,9376,6579,54716,3973,284439,6569","downregulated"
"2","query_1","TRUE","5.84638104349897e-05","368","84","12","0.142857142857143","0.0326086956521739","GO:0015711","GO:BP","organic anion transport","21092","5380","c(""GO:0006820"", ""GO:0071702"")","IBA TAS IEA,IDA TAS,IEA,IBA TAS,IMP,IBA,TAS IEA,IEA,IBA TAS,IDA IMP IGI ISS,IEA,IDA","6554,6534,4889,9122,1066,10246,10864,785,6579,54716,3973,284439","downregulated"
"3","query_1","TRUE","8.71233346102678e-05","553","84","14","0.166666666666667","0.0253164556962025","GO:1901615","GO:BP","organic hydroxy compound metabolic process","21092","24881","GO:0071704","TAS IEA,IDA IEA,IDA IMP TAS,IEA,ISS IBA IEA,IEA,NAS,IBA TAS,ISS IEA,ISS IEA,IDA TAS IEA,IDA,IEA,IDA TAS IEA","222,1565,1066,8608,5105,80168,5053,1733,4435,3973,570,27329,6569,6718","downregulated"
"4","query_1","TRUE","0.000121110703420903","316","84","11","0.130952380952381","0.0348101265822785","GO:0008202","GO:BP","steroid metabolic process","21092","3539","c(""GO:0006629"", ""GO:1901360"")","IDA IMP IEA,IDA IMP TAS,ISS IBA TAS IEA,IDA IMP IBA IEA,IEA,IDA IEA,IEA,IDA TAS IEA,IDA,NAS,IDA IBA TAS IEA","1565,1066,3283,3284,2538,8608,3973,570,27329,5618,6718","downregulated"
"5","query_1","TRUE","0.000476599839621722","285","84","10","0.119047619047619","0.0350877192982456","GO:0046942","GO:BP","carboxylic acid transport","21092","14438","GO:0015711","IBA TAS IEA,IDA TAS,IEA,IBA TAS,IMP,IBA,IEA,IBA TAS,IDA IMP IGI ISS,IEA","6554,6534,4889,9122,1066,10246,785,6579,54716,3973","downregulated"
"6","query_1","TRUE","0.00218466820036352","721","84","14","0.166666666666667","0.0194174757281553","GO:0008610","GO:BP","lipid biosynthetic process","21092","3625","c(""GO:0006629"", ""GO:1901576"")","TAS,TAS,IDA IMP,ISS IBA TAS IEA,IDA IMP IBA IEA,IDA ISS IBA IEA,IDA IBA TAS IEA,IDA,IBA,IEA,IDA TAS,NAS,ISS,IDA TAS IEA","222,1565,1066,3283,3284,5105,80168,10690,54988,3973,570,5618,5359,6718","downregulated"
"7","query_1","TRUE","0.00410717241738519","361","84","10","0.119047619047619","0.0277008310249307","GO:0006066","GO:BP","alcohol metabolic process","21092","2096","c(""GO:0044281"", ""GO:1901615"")","TAS IEA,IDA IEA,IDA IMP TAS,IEA,ISS IBA IEA,IEA,ISS IEA,IDA,IEA,IDA","222,1565,1066,8608,5105,80168,3973,27329,6569,6718","downregulated"
"8","query_1","TRUE","0.00798237456287516","925","84","15","0.178571428571429","0.0162162162162162","GO:0019752","GO:BP","carboxylic acid metabolic process","21092","6949","GO:0043436","IDA ISS IBA TAS IEA,IDA IMP NAS IEA,IBA TAS IEA,IDA IMP,ISS IBA IEA,IDA IMP IBA IEA,IDA ISS IBA IEA,IBA TAS IEA,IGI,TAS,IBA IEA,IDA IBA TAS IEA,IDA,IEA,IDA TAS IEA","3242,635,1565,1066,10455,2628,5105,5053,1733,443,54988,570,27329,6569,6718","downregulated"
"9","query_1","TRUE","0.0111785562304015","951","84","15","0.178571428571429","0.0157728706624606","GO:0043436","GO:BP","oxoacid metabolic process","21092","12298","GO:0006082","IDA ISS IBA TAS IEA,IDA IMP NAS IEA,IBA TAS IEA,IDA IMP,ISS IBA IEA,IDA IMP IBA IEA,IDA ISS IBA IEA,IBA TAS IEA,IGI,TAS,IBA IEA,IDA IBA TAS IEA,IDA,IEA,IDA TAS IEA","3242,635,1565,1066,10455,2628,5105,5053,1733,443,54988,570,27329,6569,6718","downregulated"
"10","query_1","TRUE","0.0120674489263088","239","84","8","0.0952380952380952","0.0334728033472803","GO:0042445","GO:BP","hormone metabolic process","21092","11746","c(""GO:0008152"", ""GO:0010817"")","IDA IEA,IDA IEA,IBA TAS,IMP IBA,IEA,IBA TAS IEA,IEA,IDA IBA","1565,10699,3283,3284,8608,1733,3973,6718","downregulated"
"11","query_1","TRUE","0.0122152233225549","958","84","15","0.178571428571429","0.0156576200417537","GO:0006082","GO:BP","organic acid metabolic process","21092","2112","c(""GO:0044237"", ""GO:0044281"", ""GO:0071704"")","IDA ISS IBA TAS IEA,IDA IMP NAS IEA,IBA TAS IEA,IDA IMP,ISS IBA IEA,IDA IMP IBA IEA,IDA ISS IBA IEA,IBA TAS IEA,IGI,TAS,IBA IEA,IDA IBA TAS IEA,IDA,IEA,IDA TAS IEA","3242,635,1565,1066,10455,2628,5105,5053,1733,443,54988,570,27329,6569,6718","downregulated"
"12","query_1","TRUE","0.0141514966860819","173","84","7","0.0833333333333333","0.0404624277456647","GO:0006694","GO:BP","steroid biosynthetic process","21092","2658","c(""GO:0008202"", ""GO:0008610"", ""GO:1901362"")","IDA IMP,ISS IBA TAS IEA,IDA IMP IBA IEA,IEA,IDA TAS,NAS,IDA TAS IEA","1066,3283,3284,3973,570,5618,6718","downregulated"
