"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","evidence_codes","intersection","direction"
"1","query_1","TRUE","1.59262286391893e-10","786","95","24","0.252631578947368","0.0305343511450382","GO:0006954","GO:BP","inflammatory response","21092","2883","GO:0006952","IBA IEA,IBA,IBA TAS IEA,IEA,ISS IEA,IBA IEA,NAS IEA,IEA,IDA IGI TAS IEA,IDA IBA IEA,IBA IEA,IEP IEA,IEA,TAS,IEA,IDA IBA IEA,IBA TAS IEA,IEA,TAS,IEA,IEA,IBA TAS IEA,IBA TAS IEA,ISS","27179,6372,6364,7076,3868,6355,12,54210,3569,3557,4973,3700,718,4069,8809,6347,1230,51311,4314,6403,922,1232,6368,3684","upregulated"
"2","query_1","TRUE","2.5881730507048e-08","906","95","23","0.242105263157895","0.0253863134657837","GO:0034097","GO:BP","response to cytokine","21092","9659","GO:0010033","IEA,IBA,IBA,IDA,IBA,IBA IEA,IBA,IEP,IEA,IDA ISS,IDA IBA IEA,IMP IEA,IDA NAS,IEP,IDA,IDA IBA IEA,IDA IEP ISS IBA,IDA NAS IEA,IBA,IEA,IBA,IBA,IEA","11009,27179,6372,1437,6364,7076,6355,3037,8074,3569,3557,383,1440,3700,27063,8809,6347,1230,6403,1232,9244,6368,8061","upregulated"
"3","query_1","TRUE","3.90657145828712e-07","760","95","20","0.210526315789474","0.0263157894736842","GO:0009617","GO:BP","response to bacterium","21092","3984","GO:0051707","IEA,IBA,IDA,IDA IBA IEA,IEA,IEA,IDA IBA IEA,IEA,IBA,IEA,IMP TAS,IMP TAS NAS,IEA,IEA,IEA,IDA IBA IEA,IDA IEA,IDA ISS NAS,IC,IEP IBA","11009,27179,3934,6372,1437,6364,1113,944,54210,7425,6441,3569,383,1440,718,4069,27063,6347,6403,57402","upregulated"
"4","query_1","TRUE","6.11761796450416e-06","620","95","17","0.178947368421053","0.0274193548387097","GO:0006935","GO:BP","chemotaxis","21092","2869","c(""GO:0042221"", ""GO:0042330"")","IDA IBA TAS IEA,IDA IBA TAS IEA,IDA,IBA IEA,IBA TAS IEA,IBA,NAS,TAS,TAS IC,IEA,IDA IBA TAS IEA,IDA IBA TAS NAS IEA,IMP ISS IBA IEA,IBA TAS IEA,IDA IBA,IBA TAS IC IEA,TAS","6372,6364,1113,23114,6355,54210,10457,6441,3569,1959,6347,1230,10381,1232,57402,6368,8061","upregulated"
"5","query_1","TRUE","6.42051173967839e-06","622","95","17","0.178947368421053","0.0273311897106109","GO:0042330","GO:BP","taxis","21092","11655","c(""GO:0009605"", ""GO:0040011"")","IDA IBA TAS IEA,IDA IBA TAS IEA,IDA,IBA IEA,IBA TAS IEA,IBA,NAS,TAS,TAS IC,IEA,IDA IBA TAS IEA,IDA IBA TAS NAS IEA,IMP ISS IBA IEA,IBA TAS IEA,IDA IBA,IBA TAS IC IEA,TAS","6372,6364,1113,23114,6355,54210,10457,6441,3569,1959,6347,1230,10381,1232,57402,6368,8061","upregulated"
"6","query_1","TRUE","9.31789109344926e-06","817","95","19","0.2","0.0232558139534884","GO:0071345","GO:BP","cellular response to cytokine stimulus","21092","19349","c(""GO:0034097"", ""GO:0071310"")","IEA,IBA,IBA,IDA,IBA,IBA,IEP,IEA,IDA ISS,IDA IBA IEA,IMP IEA,IDA NAS,IDA,IDA IBA IEA,IDA IEP ISS IBA,IDA NAS IEA,IEA,IBA,IBA","11009,27179,6372,1437,6364,6355,3037,8074,3569,3557,383,1440,27063,8809,6347,1230,1232,9244,6368","upregulated"
"7","query_1","TRUE","1.01228364896606e-05","479","95","15","0.157894736842105","0.0313152400835073","GO:0019221","GO:BP","cytokine-mediated signaling pathway","21092","6469","c(""GO:0007166"", ""GO:0071345"")","IBA,IBA,IDA,IBA,IBA,IDA ISS,IDA IBA IEA,IMP,NAS,IDA IBA IEA,IDA IBA,IDA NAS IEA,IEA,IBA,IBA","27179,6372,1437,6364,6355,3569,3557,383,1440,8809,6347,1230,1232,9244,6368","upregulated"
"8","query_1","TRUE","2.90254571856474e-05","239","95","11","0.115789473684211","0.0460251046025105","GO:0030595","GO:BP","leukocyte chemotaxis","21092","7913","c(""GO:0050900"", ""GO:0060326"")","IDA IBA,IBA,IDA,IBA,IBA,TAS,TAS IC,IDA IBA,IDA TAS IEA,IDA IBA,IBA IC","6372,6364,1113,6355,54210,6441,3569,6347,1230,57402,6368","upregulated"
"9","query_1","TRUE","3.03081684508663e-05","240","95","11","0.115789473684211","0.0458333333333333","GO:0097529","GO:BP","myeloid leukocyte migration","21092","21844","GO:0050900","IDA IBA,IBA,IDA,IBA,IBA,TAS,IC,IDA IBA,IDA IEA,IDA IBA,IBA IC","6372,6364,1113,6355,54210,6441,3569,6347,1230,57402,6368","upregulated"
"10","query_1","TRUE","4.76145847409409e-05","314","95","12","0.126315789473684","0.0382165605095541","GO:0060326","GO:BP","cell chemotaxis","21092","17080","c(""GO:0006935"", ""GO:0016477"", ""GO:0070887"")","IDA IBA IEA,IDA IBA,IDA,IBA,IBA,TAS,TAS IC,IDA IBA IEA,IDA IBA TAS IEA,IBA,IDA IBA,IBA IC","6372,6364,1113,6355,54210,6441,3569,6347,1230,1232,57402,6368","upregulated"
"11","query_1","TRUE","7.05349797991737e-05","69","95","7","0.0736842105263158","0.101449275362319","GO:0002548","GO:BP","monocyte chemotaxis","21092","1190","c(""GO:0030595"", ""GO:0071674"", ""GO:0097529"")","IBA,IBA,IC,IDA IBA,IDA IEA,IDA IBA,IBA IC","6364,6355,3569,6347,1230,57402,6368","upregulated"
"12","query_1","TRUE","7.20170346399173e-05","106","95","8","0.0842105263157895","0.0754716981132075","GO:0071347","GO:BP","cellular response to interleukin-1","21092","19351","c(""GO:0070555"", ""GO:0071345"")","IBA,IBA,IEP,ISS,IDA IBA IEA,IDA,IEP ISS IBA,IBA","6364,6355,3037,3569,3557,27063,6347,6368","upregulated"
"13","query_1","TRUE","7.22850732164841e-05","397","95","13","0.136842105263158","0.0327455919395466","GO:0050900","GO:BP","leukocyte migration","21092","15393","c(""GO:0002376"", ""GO:0016477"")","IDA IBA,IDA ISS IBA,IDA,IBA IEA,IBA,TAS,TAS IC,IDA ISS IBA,IDA TAS IEA,IMP ISS IBA IEA,ISS IEA,IDA IBA,IBA IC","6372,6364,1113,6355,54210,6441,3569,6347,1230,6403,2302,57402,6368","upregulated"
"14","query_1","TRUE","9.64106444793338e-05","110","95","8","0.0842105263157895","0.0727272727272727","GO:0002444","GO:BP","myeloid leukocyte mediated immunity","21092","1088","GO:0002443","IEA,IDA,IBA,TAS,IMP,IEA,IEP,IGI ISS","6372,1113,54210,3569,383,718,5272,3684","upregulated"
"15","query_1","TRUE","0.000230959721273046","520","95","14","0.147368421052632","0.0269230769230769","GO:0010817","GO:BP","regulation of hormone levels","21092","4947","GO:0065008","TAS,IBA TAS,IMP IBA,IDA IBA TAS IEA,IEA,IBA,IDA,IEA,ISS IEA,IDA ISS,IEA,IEA,IDA IBA,IDA NAS IEA","1589,3283,3284,1583,2516,1113,3976,7425,8074,3569,3557,6865,64111,10170","upregulated"
"16","query_1","TRUE","0.000278784117648202","369","95","12","0.126315789473684","0.032520325203252","GO:0042742","GO:BP","defense response to bacterium","21092","11902","c(""GO:0009617"", ""GO:0098542"")","IDA,IEA,IEA,IDA IBA IEA,IEA,IBA,IEA,IMP TAS,TAS,IDA IBA IEA,IC,IEP","3934,6372,6364,1113,944,54210,7425,6441,3569,4069,6403,57402","upregulated"
"17","query_1","TRUE","0.000369084477665165","182","95","9","0.0947368421052632","0.0494505494505494","GO:0001906","GO:BP","cell killing","21092","638","GO:0009987","IEA,IEA,IBA,IMP,IEA,IDA,IMP,IEA,ISS","6372,1113,54210,383,718,4069,5272,922,3684","upregulated"
"18","query_1","TRUE","0.000418719327006541","89","95","7","0.0736842105263158","0.0786516853932584","GO:0070098","GO:BP","chemokine-mediated signaling pathway","21092","18616","c(""GO:0019221"", ""GO:1990869"")","IBA,IBA,IBA,IBA,IDA IEA,IEA,IBA","6372,6364,6355,6347,1230,1232,6368","upregulated"
"19","query_1","TRUE","0.00042370537964513","133","95","8","0.0842105263157895","0.0601503759398496","GO:0070555","GO:BP","response to interleukin-1","21092","18901","GO:0034097","IBA,IBA,IEP,ISS,IDA IBA IEA,IDA,IEP ISS IBA,IBA","6364,6355,3037,3569,3557,27063,6347,6368","upregulated"
"20","query_1","TRUE","0.000508499514088805","943","95","18","0.189473684210526","0.0190880169671262","GO:0046903","GO:BP","secretion","21092","14421","GO:0006810","IEA,IEA,IDA IBA,IEA,IDA,IDA,IEA,TAS,ISS IEA,IDA ISS,IEA,IDA,IEA,IMP,IDA,TAS,IDA IBA,IGI","7476,1437,1113,8973,6355,3976,7425,4053,8074,3569,3557,1815,6865,27063,1230,4879,64111,3684","upregulated"
"21","query_1","TRUE","0.000703993160513349","327","95","11","0.115789473684211","0.0336391437308868","GO:0032496","GO:BP","response to lipopolysaccharide","21092","8790","c(""GO:0002237"", ""GO:0033993"", ""GO:1901700"")","IEA,IBA,IDA IBA IEA,IEA,IMP,IEA,IEA,IDA IEA,IDA ISS,IC,IEP IBA","11009,27179,6372,1437,3569,383,1440,27063,6347,6403,57402","upregulated"
"22","query_1","TRUE","0.000813522890565405","98","95","7","0.0736842105263158","0.0714285714285714","GO:1990868","GO:BP","response to chemokine","21092","29148","GO:0034097","IBA,IBA,IBA,IBA,IDA IEA,IEA,IBA","6372,6364,6355,6347,1230,1232,6368","upregulated"
"23","query_1","TRUE","0.000813522890565405","98","95","7","0.0736842105263158","0.0714285714285714","GO:1990869","GO:BP","cellular response to chemokine","21092","29149","c(""GO:0071345"", ""GO:1990868"")","IBA,IBA,IBA,IBA,IDA IEA,IEA,IBA","6372,6364,6355,6347,1230,1232,6368","upregulated"
"24","query_1","TRUE","0.000957988488161212","267","95","10","0.105263157894737","0.0374531835205993","GO:0070663","GO:BP","regulation of leukocyte proliferation","21092","18972","c(""GO:0042127"", ""GO:0070661"")","IDA,TAS,IEA,IDA,TAS,IDA,IDA IEA,IEA,IEA,IBA IEA","1437,944,6355,10457,6441,3569,383,3604,2302,11326","upregulated"
"25","query_1","TRUE","0.000965327094070325","985","95","18","0.189473684210526","0.0182741116751269","GO:2000145","GO:BP","regulation of cell motility","21092","29352","c(""GO:0040012"", ""GO:0048870"", ""GO:0050794"")","IEA,IDA,IEA,IDA,IMP,IDA,IMP,IEA,IDA,IMP IEA,IBA,TAS,IMP,IMP IBA,IDA,IDA IMP IEA,ISS IEA,IDA IBA","7476,4316,11009,6364,7076,3868,3036,6355,10457,3037,8074,3569,2523,6865,6347,1230,6403,57402","upregulated"
"26","query_1","TRUE","0.00123347311637356","346","95","11","0.115789473684211","0.0317919075144509","GO:0002237","GO:BP","response to molecule of bacterial origin","21092","891","c(""GO:0009617"", ""GO:0010033"", ""GO:0043207"")","IEA,IBA,IDA IBA IEA,IEA,IMP NAS,IEA,IEA,IDA IEA,IDA ISS,IC,IEP IBA","11009,27179,6372,1437,3569,383,1440,27063,6347,6403,57402","upregulated"
"27","query_1","TRUE","0.00124022875575781","210","95","9","0.0947368421052632","0.0428571428571429","GO:0071222","GO:BP","cellular response to lipopolysaccharide","21092","19232","c(""GO:0032496"", ""GO:0071219"", ""GO:0071396"", ""GO:1901701"")","IEA,IBA,IDA IBA,IEA,IMP,IEA,IEA,IDA IEA,IDA ISS","11009,27179,6372,1437,3569,383,1440,27063,6347","upregulated"
