"","pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss","MOA","Target","Disease.Area","Indication","Phase","concept_codes","concept_ids","latest_xml_id","latest_zip_id","X.x","rowid","concept_name","concept_code","pred0","pred1","X.y"
"1","doxorubicin","HA1E","trt_cp","down",-0.570333273697319,1.87129421188247e-05,7.66921192607174e-05,-1.44884630020164,-98.9290495314592,2241,-1.23154638067797,37,29,"CHD1; NOLC1; TOP2A","Topoisomerase
inhibitor","31703","topoisomerase inhibitor","TOP2A","hematologic malignancy, oncology","acute lymphoblastic leukemia (ALL), acute myeloid leukemia (AML), Wilm's tumor, breast cancer, ovarian cancer, Hodgkin's lymphoma, bladder cancer, multiple myeloma","Launched","3639","1338512","d95f19dc-a686-42c7-88dc-997659b803df","20220118_6bcde92b-e584-4919-866a-68847ea201ba",NA,1100172,"abdominal pain",10000081,0,5.31364631652832,NA
"2","doxorubicin","HA1E","trt_cp","down",-0.570333273697319,1.87129421188247e-05,7.66921192607174e-05,-1.44884630020164,-98.9290495314592,2241,-1.23154638067797,37,29,"CHD1; NOLC1; TOP2A","Topoisomerase
inhibitor","31703","topoisomerase inhibitor","TOP2A","hematologic malignancy, oncology","acute lymphoblastic leukemia (ALL), acute myeloid leukemia (AML), Wilm's tumor, breast cancer, ovarian cancer, Hodgkin's lymphoma, bladder cancer, multiple myeloma","Launched","3639","1338512","d95f19dc-a686-42c7-88dc-997659b803df","20220118_6bcde92b-e584-4919-866a-68847ea201ba",NA,1100173,"acral erythema",10070580,0,5.27377700805664,NA
"3","doxorubicin","HA1E","trt_cp","down",-0.570333273697319,1.87129421188247e-05,7.66921192607174e-05,-1.44884630020164,-98.9290495314592,2241,-1.23154638067797,37,29,"CHD1; NOLC1; TOP2A","Topoisomerase
inhibitor","31703","topoisomerase inhibitor","TOP2A","hematologic malignancy, oncology","acute lymphoblastic leukemia (ALL), acute myeloid leukemia (AML), Wilm's tumor, breast cancer, ovarian cancer, Hodgkin's lymphoma, bladder cancer, multiple myeloma","Launched","3639","1338512","d95f19dc-a686-42c7-88dc-997659b803df","20220118_6bcde92b-e584-4919-866a-68847ea201ba",NA,1100177,"alopecia",10001760,0,5.2838888168335,NA
"4","doxorubicin","HA1E","trt_cp","down",-0.570333273697319,1.87129421188247e-05,7.66921192607174e-05,-1.44884630020164,-98.9290495314592,2241,-1.23154638067797,37,29,"CHD1; NOLC1; TOP2A","Topoisomerase
inhibitor","31703","topoisomerase inhibitor","TOP2A","hematologic malignancy, oncology","acute lymphoblastic leukemia (ALL), acute myeloid leukemia (AML), Wilm's tumor, breast cancer, ovarian cancer, Hodgkin's lymphoma, bladder cancer, multiple myeloma","Launched","3639","1338512","d95f19dc-a686-42c7-88dc-997659b803df","20220118_6bcde92b-e584-4919-866a-68847ea201ba",NA,1100181,"anorexia",10002646,0,5.36834573745728,NA
"5","doxorubicin","HA1E","trt_cp","down",-0.570333273697319,1.87129421188247e-05,7.66921192607174e-05,-1.44884630020164,-98.9290495314592,2241,-1.23154638067797,37,29,"CHD1; NOLC1; TOP2A","Topoisomerase
inhibitor","31703","topoisomerase inhibitor","TOP2A","hematologic malignancy, oncology","acute lymphoblastic leukemia (ALL), acute myeloid leukemia (AML), Wilm's tumor, breast cancer, ovarian cancer, Hodgkin's lymphoma, bladder cancer, multiple myeloma","Launched","3639","1338512","d95f19dc-a686-42c7-88dc-997659b803df","20220118_6bcde92b-e584-4919-866a-68847ea201ba",NA,1100183,"arrhythmia",10003119,1.08842420578003,3.3559398651123,NA
"6","doxorubicin","HA1E","trt_cp","down",-0.570333273697319,1.87129421188247e-05,7.66921192607174e-05,-1.44884630020164,-98.9290495314592,2241,-1.23154638067797,37,29,"CHD1; NOLC1; TOP2A","Topoisomerase
inhibitor","31703","topoisomerase inhibitor","TOP2A","hematologic malignancy, oncology","acute lymphoblastic leukemia (ALL), acute myeloid leukemia (AML), Wilm's tumor, breast cancer, ovarian cancer, Hodgkin's lymphoma, bladder cancer, multiple myeloma","Launched","3639","1338512","d95f19dc-a686-42c7-88dc-997659b803df","20220118_6bcde92b-e584-4919-866a-68847ea201ba",NA,1100186,"asthenia",10003549,0,4.10308647155762,NA
"7","doxorubicin","HA1E","trt_cp","down",-0.570333273697319,1.87129421188247e-05,7.66921192607174e-05,-1.44884630020164,-98.9290495314592,2241,-1.23154638067797,37,29,"CHD1; NOLC1; TOP2A","Topoisomerase
inhibitor","31703","topoisomerase inhibitor","TOP2A","hematologic malignancy, oncology","acute lymphoblastic leukemia (ALL), acute myeloid leukemia (AML), Wilm's tumor, breast cancer, ovarian cancer, Hodgkin's lymphoma, bladder cancer, multiple myeloma","Launched","3639","1338512","d95f19dc-a686-42c7-88dc-997659b803df","20220118_6bcde92b-e584-4919-866a-68847ea201ba",NA,1100193,"cardiomyopathy",10007636,0.267476797103882,4.1998987197876,NA
"8","doxorubicin","HA1E","trt_cp","down",-0.570333273697319,1.87129421188247e-05,7.66921192607174e-05,-1.44884630020164,-98.9290495314592,2241,-1.23154638067797,37,29,"CHD1; NOLC1; TOP2A","Topoisomerase
inhibitor","31703","topoisomerase inhibitor","TOP2A","hematologic malignancy, oncology","acute lymphoblastic leukemia (ALL), acute myeloid leukemia (AML), Wilm's tumor, breast cancer, ovarian cancer, Hodgkin's lymphoma, bladder cancer, multiple myeloma","Launched","3639","1338512","d95f19dc-a686-42c7-88dc-997659b803df","20220118_6bcde92b-e584-4919-866a-68847ea201ba",NA,1100194,"chills",10008531,0,5.2324686050415,NA
"9","doxorubicin","HA1E","trt_cp","down",-0.570333273697319,1.87129421188247e-05,7.66921192607174e-05,-1.44884630020164,-98.9290495314592,2241,-1.23154638067797,37,29,"CHD1; NOLC1; TOP2A","Topoisomerase
inhibitor","31703","topoisomerase inhibitor","TOP2A","hematologic malignancy, oncology","acute lymphoblastic leukemia (ALL), acute myeloid leukemia (AML), Wilm's tumor, breast cancer, ovarian cancer, Hodgkin's lymphoma, bladder cancer, multiple myeloma","Launched","3639","1338512","d95f19dc-a686-42c7-88dc-997659b803df","20220118_6bcde92b-e584-4919-866a-68847ea201ba",NA,1100200,"conjunctivitis",10010741,0,5.2327995300293,NA
"10","doxorubicin","HA1E","trt_cp","down",-0.570333273697319,1.87129421188247e-05,7.66921192607174e-05,-1.44884630020164,-98.9290495314592,2241,-1.23154638067797,37,29,"CHD1; NOLC1; TOP2A","Topoisomerase
inhibitor","31703","topoisomerase inhibitor","TOP2A","hematologic malignancy, oncology","acute lymphoblastic leukemia (ALL), acute myeloid leukemia (AML), Wilm's tumor, breast cancer, ovarian cancer, Hodgkin's lymphoma, bladder cancer, multiple myeloma","Launched","3639","1338512","d95f19dc-a686-42c7-88dc-997659b803df","20220118_6bcde92b-e584-4919-866a-68847ea201ba",NA,1100203,"death",10011906,0.148260280489922,3.08862137794495,NA
