"","entrezgene_id","ensembl_gene_id","mouse_ensembl_gene_id","LFC"
"1",354,"ENSG00000142515","ENSMUSG00000060177",-6.45291225939823
"2",3816,"ENSG00000167748","ENSMUSG00000060177",-6.45291225939823
"3",3817,"ENSG00000167751","ENSMUSG00000060177",-6.45291225939823
"4",8340,"ENSG00000185130","ENSMUSG00000069308",-6.30968240181741
"5",8503,"ENSG00000117461","ENSMUSG00000111410",-5.88498435425732
"6",51124,"ENSG00000134049","ENSMUSG00000117732",-5.62884130639273
"7",597,"ENSG00000140379","ENSMUSG00000100838",-5.53594300445883
"8",57804,"ENSG00000175482","ENSMUSG00000117873",-5.39905327321288
"9",57828,"ENSG00000099338","ENSMUSG00000049123",-5.22582737424427
"10",3590,"ENSG00000137070","ENSMUSG00000078735",-5.02409082103903
"11",10964,"ENSG00000137959","ENSMUSG00000039146",-4.88108648650524
"12",873,"ENSG00000159228","ENSMUSG00000082815",-4.83368370984997
"13",57820,"ENSG00000100814","ENSMUSG00000071470",-4.40640885437772
"14",629,"ENSG00000243649","ENSMUSG00000092511",-4.02381780149653
"15",10850,"ENSG00000213927","ENSMUSG00000073877",-4.02351427106378
"16",3017,"ENSG00000158373","ENSMUSG00000114279",-4.00742180047796
"17",3561,"ENSG00000147168","ENSMUSG00000092463",-3.88291187977314
"18",53904,"ENSG00000095777","ENSMUSG00000025716",-3.66969772848774
"19",2914,"ENSG00000124493","ENSMUSG00000063239",-3.65452579985793
"20",7007,"ENSG00000109927","ENSMUSG00000037705",-3.58175600946384
"21",2597,"ENSG00000111640","ENSMUSG00000110469",-3.33371146682441
"22",50632,"ENSG00000130643","ENSMUSG00000025468",-3.30429223531342
"23",29113,"ENSG00000204542","ENSMUSG00000039269",-3.17932464856279
"24",51702,"ENSG00000142619","ENSMUSG00000025328",-3.16137888048914
"25",3820,"ENSG00000111796","ENSMUSG00000107872",-3.11412586893001
"26",10692,"ENSG00000180245","ENSMUSG00000028012",-3.07255608057789
"27",5319,"ENSG00000170890","ENSMUSG00000029522",-3.05730012145192
"28",30012,"ENSG00000164438","ENSMUSG00000040610",-3.04070969711353
"29",10876,"ENSG00000181562","ENSMUSG00000072575",-2.99856484077341
"30",64184,"ENSG00000181552","ENSMUSG00000072575",-2.99856484077341
"31",4608,"ENSG00000133055","ENSMUSG00000042451",-2.98496979690619
"32",9464,"ENSG00000164107","ENSMUSG00000038193",-2.95704904764834
"33",23530,"ENSG00000112992","ENSMUSG00000116207",-2.93391916081112
"34",10793,"ENSG00000198039","ENSMUSG00000098781",-2.91239773266859
"35",56242,"ENSG00000256771","ENSMUSG00000098781",-2.91239773266859
"36",80264,"ENSG00000118620","ENSMUSG00000098781",-2.91239773266859
"37",113835,"ENSG00000197134","ENSMUSG00000098781",-2.91239773266859
"38",171392,"ENSG00000197372","ENSMUSG00000098781",-2.91239773266859
"39",6035,"ENSG00000129538","ENSMUSG00000035896",-2.83305500342687
"40",4860,"ENSG00000198805","ENSMUSG00000068417",-2.77063221374955
"41",7481,"ENSG00000085741","ENSMUSG00000015957",-2.73874731908095
"42",27328,"ENSG00000102290","ENSMUSG00000034755",-2.7290955326313
"43",63973,"ENSG00000178403","ENSMUSG00000027967",-2.67732763201401
"44",54541,"ENSG00000168209","ENSMUSG00000020108",-2.64836667788857
"45",8542,"ENSG00000100342","ENSMUSG00000068252",-2.64480462855171
"46",23780,"ENSG00000128335","ENSMUSG00000068252",-2.64480462855171
"47",80833,"ENSG00000128284","ENSMUSG00000068252",-2.64480462855171
"48",10178,"ENSG00000009694","ENSMUSG00000016150",-2.64072797653583
"49",11317,"ENSG00000124232","ENSMUSG00000017007",-2.63673254931955
"50",81551,"ENSG00000015592","ENSMUSG00000022044",-2.62173368508667
"51",6658,"ENSG00000134595","ENSMUSG00000045179",-2.60778839544599
"52",7033,"ENSG00000160180","ENSMUSG00000024029",-2.60778025676824
"53",10164,"ENSG00000140835","ENSMUSG00000035930",-2.60723074008883
"54",11341,"ENSG00000164106","ENSMUSG00000031610",-2.60644072713965
"55",5359,"ENSG00000188313","ENSMUSG00000074139",-2.59054262640745
"56",611,"ENSG00000128617","ENSMUSG00000058831",-2.59037991341695
"57",1992,"ENSG00000021355","ENSMUSG00000051029",-2.57369236077705
"58",25794,"ENSG00000186765","ENSMUSG00000025380",-2.56118299430157
"59",79187,"ENSG00000105255","ENSMUSG00000011589",-2.55839273035236
"60",5030,"ENSG00000186912","ENSMUSG00000044359",-2.55608736708879
"61",5122,"ENSG00000175426","ENSMUSG00000021587",-2.53888331243227
"62",23105,"ENSG00000053108","ENSMUSG00000036264",-2.53888331243227
"63",10793,"ENSG00000198039","ENSMUSG00000097565",-2.50342962207808
"64",56242,"ENSG00000256771","ENSMUSG00000097565",-2.50342962207808
"65",80264,"ENSG00000118620","ENSMUSG00000097565",-2.50342962207808
"66",113835,"ENSG00000197134","ENSMUSG00000097565",-2.50342962207808
"67",171392,"ENSG00000197372","ENSMUSG00000097565",-2.50342962207808
"68",140578,"ENSG00000154645","ENSMUSG00000022860",-2.50340733928492
"69",11016,"ENSG00000170653","ENSMUSG00000052414",-2.50339925341826
"70",3170,"ENSG00000125798","ENSMUSG00000037025",-2.50065533331362
"71",429,"ENSG00000139352","ENSMUSG00000020052",-2.49229102208615
"72",10242,"ENSG00000197584","ENSMUSG00000037610",-2.43194981738237
"73",51555,"ENSG00000114757","ENSMUSG00000027674",-2.41628419827539
"74",353299,"ENSG00000121446","ENSMUSG00000042641",-2.41132879930302
"75",1008,"ENSG00000040731","ENSMUSG00000022321",-2.40169068167106
"76",8290,"ENSG00000168148","ENSMUSG00000080152",-2.4016890635481
"77",27288,"ENSG00000170748","ENSMUSG00000073894",-2.36229429338574
"78",56158,"ENSG00000150783","ENSMUSG00000032065",-2.36228172600112
"79",3046,"ENSG00000213931","ENSMUSG00000052187",-2.34224294908422
"80",1795,"ENSG00000088538","ENSMUSG00000039716",-2.325434878403
"81",1630,"ENSG00000187323","ENSMUSG00000060534",-2.32531280983745
"82",79001,"ENSG00000167397","ENSMUSG00000030804",-2.32357580436783
