"","Gene.stable.ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","Gene.name","Gene.stable.ID.1","Gene.stable.ID.version","Gene.name.1"
"1","ENSSSCG00000000002",183.128764758827,-2.04281439382996,0.450018899980701,4.55135071250184e-07,5.10003214269882e-05,"GTSE1","ENSG00000075218","ENSG00000075218.19","GTSE1"
"2","ENSSSCG00000000028",54.8347402536332,-2.04547738714385,0.767647790299132,0.00047205573175464,0.0104497477348349,"","ENSG00000186976","ENSG00000186976.15","EFCAB6"
"3","ENSSSCG00000000179",160.63431556736,-1.1734160912284,0.418238969554719,0.000530576055756985,0.0113381664523307,"CCDC65","ENSG00000139537","ENSG00000139537.11","CCDC65"
"4","ENSSSCG00000000214",773.876001832333,-1.281724041992,0.415162811830211,0.00020192583222951,0.00567699198058899,"GPD1","ENSG00000167588","ENSG00000167588.13","GPD1"
"5","ENSSSCG00000000257",40.3636987335211,-2.06777205767228,0.6391606213789,8.17786920619234e-05,0.00295729854175837,"ITGB7","ENSG00000139626","ENSG00000139626.16","ITGB7"
"6","ENSSSCG00000000265",121.710980703408,-1.07694837310804,0.487398575163512,0.00279495004170752,0.0354257580871677,"ESPL1","ENSG00000135476","ENSG00000135476.12","ESPL1"
"7","ENSSSCG00000000683",189.490879463889,-1.107191765133,0.467282474915817,0.00186121643512009,0.0268199165240232,"CDCA3","ENSG00000111665","ENSG00000111665.12","CDCA3"
"8","ENSSSCG00000000693",623.025154448891,-1.15771059185127,0.390836538998833,0.000342713941343659,0.0081996041344962,"NCAPD2","ENSG00000010292","ENSG00000010292.13","NCAPD2"
"9","ENSSSCG00000000700",100.699422012146,-1.41122071108135,0.414924764937046,6.10958702107577e-05,0.00235785263670804,"ACRBP","ENSG00000111644","ENSG00000111644.8","ACRBP"
"10","ENSSSCG00000000723",419.718646324069,-1.0357189077858,0.342323763263682,0.000327398873388611,0.00798440315552226,"C12orf4","ENSG00000047621","ENSG00000047621.12","C12orf4"
"11","ENSSSCG00000000728",125.963126455108,-1.01503450026068,0.355172994717119,0.000560879300398011,0.0117567498487189,"PARP11","ENSG00000111224","ENSG00000111224.14","PARP11"
"12","ENSSSCG00000000811",196.684647924147,-1.3306366727465,0.33050812396771,5.96754230411231e-06,0.000379459594364511,"PCED1B","ENSG00000179715","ENSG00000179715.13","PCED1B"
"13","ENSSSCG00000001204",55.4767492566081,-1.3962152210084,0.526780957219524,0.000659647473308086,0.0130523178406552,"ZKSCAN4","ENSG00000187626","ENSG00000187626.9","ZKSCAN4"
"14","ENSSSCG00000001207",181.430764397622,-1.06368684374625,0.355453698455947,0.000347793314450405,0.00828973020820217,"PGBD1","ENSG00000137338","ENSG00000137338.6","PGBD1"
"15","ENSSSCG00000001247",22.8101518664174,-1.84937871284643,0.739893869570615,0.00074149624335377,0.0142068880842372,"ZFP57","ENSG00000204644","ENSG00000204644.10","ZFP57"
"16","ENSSSCG00000001248",9.05116717883239,-3.26611164123053,1.43841552623032,0.00104866796360335,0.0180483281038328,"MOG","ENSG00000204655","ENSG00000204655.12","MOG"
"17","ENSSSCG00000001384",577.548455781013,-1.06449390682519,0.316471972474692,0.000101841557241822,0.00348968475257736,"VARS2","ENSG00000137411","ENSG00000137411.19","VARS2"
"18","ENSSSCG00000001392",129.095903312681,-1.59901308168094,0.376010423641774,1.91211968025589e-06,0.000157533720961603,"TCF19","ENSG00000137310","ENSG00000137310.13","TCF19"
"19","ENSSSCG00000001420",2022.3881953091,-1.11326324584077,0.323046845755043,7.9579612378311e-05,0.00291121664155773,"EHMT2","ENSG00000204371","ENSG00000204371.12","EHMT2"
"20","ENSSSCG00000001509",728.698089497514,-1.33838572816815,0.432700103089543,0.000188997955589585,0.00537529621098511,"DAXX","ENSG00000204209","ENSG00000204209.13","DAXX"
"21","ENSSSCG00000001561",30.9246807554817,-1.29197930161711,0.712360753620512,0.00467303447694104,0.0496631129016016,"ETV7","ENSG00000010030","ENSG00000010030.14","ETV7"
"22","ENSSSCG00000001572",78.0665530668853,-1.66148341870417,0.677163256266236,0.000926414049492297,0.0166079657746732,"FGD2","ENSG00000146192","ENSG00000146192.15","FGD2"
